"food_name";"change(%)"
Cukr krystalový;-27.52
Rajská jablka červená kulatá;-23.07
Banány žluté;7.36
Vepřová pečeně s kostí;11.1
Přírodní minerální voda uhličitá;12.48
Pečivo pšeničné bílé;13.58
Jablka konzumní;17.81
Šunkový salám;24.07
Konzumní brambory;24.83
Eidamská cihla;28.39
Hovězí maso zadní bez kosti;34.22
Kapr živý;34.77
Mléko polotučné pasterované;37.26
Pivo výčepní, světlé, lahvové;39.76
Rostlinný roztíratelný tuk;43.12
Kuřata kuchaná celá;46.01
Pomeranče;47.59
Chléb konzumní kmínový;50.37
Pšeničná mouka hladká;54.39
Mrkev;55.79
Jogurt bílý netučný;57.29
Vejce slepičí čerstvá;63.43
Rýže loupaná dlouhozrnná;69.94
Papriky;71.25
Těstoviny vaječné;83.45
Máslo;98.38
